spot_location_1,spot_location_2,spot_location_3,gene,is_noise,clustermap
45,541,1,1,-1,-1.0
55,490,5,1,0,-1.0
85,495,5,1,0,202.0
236,893,2,1,0,1511.0
241,904,1,1,0,1511.0
264,643,2,1,-1,-1.0
310,675,4,1,0,344.0
331,947,4,1,0,-1.0
361,719,3,1,-1,-1.0
362,206,3,1,0,331.0
368,802,1,1,-1,-1.0
375,215,2,1,0,331.0
411,78,5,1,0,1240.0
462,803,2,1,-1,-1.0
538,813,2,1,-1,-1.0
554,51,2,1,0,614.0
561,33,3,1,0,614.0
604,492,2,1,0,8.0
635,87,2,1,0,13.0
635,93,2,1,0,13.0
639,72,2,1,0,-1.0
653,87,3,1,0,13.0
672,433,2,1,0,-1.0
679,686,2,1,0,943.0
681,467,3,1,-1,-1.0
706,778,2,1,-1,-1.0
720,409,2,1,0,201.0
729,413,2,1,0,201.0
737,394,4,1,0,335.0
740,682,2,1,-1,-1.0
752,399,3,1,0,336.0
759,698,1,1,-1,-1.0
770,13,3,1,-1,-1.0
788,26,2,1,0,3.0
790,287,1,1,-1,-1.0
255,36,3,1,0,1211.0
272,30,3,1,0,1211.0
319,971,3,1,0,1.0
383,204,4,1,0,331.0
650,95,2,1,0,13.0
734,414,4,1,0,335.0
737,614,4,1,-1,-1.0
239,906,5,1,0,1511.0
253,894,5,1,0,1511.0
386,661,5,1,0,616.0
601,498,4,1,0,8.0
254,898,6,1,0,1511.0
316,966,5,1,0,1.0
362,184,6,1,0,331.0
563,41,5,1,0,614.0
563,51,5,1,0,614.0
724,868,5,1,-1,-1.0
770,438,8,1,0,342.0
785,26,6,1,0,3.0
62,1021,9,1,-1,-1.0
239,889,6,1,0,1511.0
270,369,5,1,-1,-1.0
300,594,6,1,-1,-1.0
362,197,6,1,0,331.0
367,186,5,1,0,331.0
451,766,6,1,-1,-1.0
566,39,6,1,0,614.0
719,413,7,1,0,201.0
159,138,6,1,-1,-1.0
231,896,7,1,0,1511.0
237,891,8,1,0,1511.0
245,909,6,1,0,1511.0
249,40,7,1,0,1211.0
270,38,10,1,0,1211.0
325,692,7,1,-1,-1.0
440,335,7,1,-1,-1.0
601,459,8,1,0,341.0
607,495,7,1,0,8.0
636,85,6,1,0,13.0
727,410,7,1,0,201.0
767,459,7,1,0,1397.0
209,95,12,1,-1,-1.0
220,939,9,1,-1,-1.0
246,896,10,1,0,1511.0
283,667,8,1,-1,-1.0
501,70,14,1,0,206.0
609,487,8,1,0,8.0
634,83,8,1,0,13.0
724,398,9,1,0,335.0
740,446,9,1,0,1385.0
776,458,9,1,0,1397.0
784,12,8,1,0,11.0
195,11,14,1,0,-1.0
226,342,10,1,-1,-1.0
236,897,11,1,0,1511.0
250,31,10,1,0,1211.0
259,913,9,1,0,1511.0
261,454,11,1,-1,-1.0
309,873,9,1,0,-1.0
378,37,12,1,0,658.0
426,657,9,1,-1,-1.0
534,286,10,1,-1,-1.0
543,49,10,1,0,614.0
602,464,9,1,0,341.0
608,504,9,1,0,8.0
660,612,9,1,-1,-1.0
737,451,9,1,-1,-1.0
747,394,8,1,0,335.0
763,22,13,1,0,3.0
770,34,9,1,0,3.0
245,907,10,1,0,1511.0
291,2,12,1,-1,-1.0
301,656,11,1,0,601.0
566,572,9,1,-1,-1.0
721,404,10,1,0,335.0
751,441,10,1,0,342.0
759,408,11,1,0,335.0
869,438,10,1,-1,-1.0
22,924,17,1,-1,-1.0
252,37,11,1,0,1211.0
346,889,12,1,0,947.0
363,187,11,1,0,331.0
374,228,12,1,-1,-1.0
428,543,11,1,-1,-1.0
545,53,10,1,-1,-1.0
735,454,11,1,-1,-1.0
775,465,12,1,0,1397.0
818,440,11,1,-1,-1.0
819,437,11,1,-1,-1.0
939,10,15,1,-1,-1.0
11,190,15,1,-1,-1.0
21,447,13,1,0,606.0
119,264,12,1,-1,-1.0
252,538,12,1,-1,-1.0
279,902,13,1,0,-1.0
301,664,12,1,0,203.0
369,195,12,1,0,331.0
384,214,12,1,-1,-1.0
386,237,12,1,-1,-1.0
564,784,12,1,-1,-1.0
594,613,13,1,0,1144.0
597,450,12,1,-1,-1.0
611,477,12,1,0,223.0
743,541,11,1,0,634.0
779,470,13,1,0,1397.0
901,527,13,1,0,216.0
1023,816,12,1,0,-1.0
50,193,15,1,-1,-1.0
249,36,12,1,0,1211.0
